X,Y,fid,Nama_Sekolah,NPSN,Nama_KepSek,Alamat_Sekolah,Tahun_Berdiri,Status_Akreditasi,Ruang_Guru,Ruang_Pimpinan,Lab_IPA,Perpus,UKS,Ruang_AdminTU,Ruang_Sirkulasi,Ruang_Ibadah,Jamban_WC,Area_Olahraga,Gudang,Kantin,Tempat_Parkir,Ruang_Kelas,Lemari,Papan_Pajang,Papan_Tulis,Tempat_Sampah,Tempat_Cuci_Tangan,Jam_Dinding,Kotak_Kontak,Meteran_Listrik,Rumah_Dinas_Guru,Pagar_Keliling,Lapangan_Upacara,Jumlah_Kursi_Siswa,Jumlah_Meja_Siswa,Jumlah_Siswa,Jumlah_Kursi_Guru,Jumlah_Meja_Guru,Jumlah_Guru,GuruAgamaBP_SMA,GuruAgamaBP_D1,GuruAgamaBP_D2,GuruAgamaBP_D3,GuruAgamaBP_S1,GuruAgamaBP_S2,GuruPPKN_SMA,GuruPPKN_D1,GuruPPKN_D2,GuruPPKN_D3,GuruPPKN_S1,GuruPPKN_S2,GuruIndo_SMA,GuruIndo_D1,GuruIndo_D2,GuruIndo_D3,GuruIndo_S1,GuruIndo_S2,GuruMTK_SMA,GuruMTK_D1,GuruMTK_D2,GuruMTK_D3,GuruMTK_S1,GuruMTK_S2,GuruIPA_SMA,GuruIPA_D1,GuruIPA_D2,GuruIPA_D3,GuruIPA_S1,GuruIPA_S2,GuruIPS_SMA,GuruIPS_D1,GuruIPS_D2,GuruIPS_D3,GuruIPS_S1,GuruIPS_S2,GuruIng_SMA,GuruIng_D1,GuruIng_D2,GuruIng_D3,GuruIng_S1,GuruIng_S2,GuruSeni_SMA,GuruSeni_D1,GuruSeni_D2,GuruSeni_D3,GuruSeni_S1,GuruSeni_S2,GuruPJS_SMA,GuruPJS_D1,GuruPJS_D2,GuruPJS_D3,GuruPJS_S1,GuruPJS_S2,GuruPraKarya_SMA,GuruPraKarya_D1,GuruPraKarya_D2,GuruPraKarya_D3,GuruPraKarya_S1,GuruPraKarya_S2,GuruLain_SMA,GuruLain_D1,GuruLain_D2,GuruLain_D3,GuruLain_S1,GuruLain_S2,Jenjang_Pendidikan,Desa,Kecamatan,FotoA,FotoB,FotoC,Catatan,icon_url
125.45429781,2.76525576,"59",SD GMIST IMANUEL TUMBIRA,"40104704",RINNI DIKROMO,Lindongan I,1961/10/01,"3","1","5","5","1","5","5",,"5","2","5","5","5","5","1","2","0","6","8","2","7",,"450","5","2","1","26","19","28","6","4","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","1",Kanang,Siau Timur,DCIM/titik-sekolah_20221005180346602.jpg,DCIM/titik-sekolah_20221005180528065.jpg,DCIM/titik-sekolah_20221005180621304.jpg,"WC yang ada berjumlah 2 buah, 1 rusak ringan (pintu)",./1.png
125.39132096,2.68696377,"60",SMP N 1 Siau Timur Selatan,"40104757","Horleni N. Salindeho, S.Pd",Sawang,1978/09/13,"2","1","1","1","2","1","1",,"5","3","1","2","2","1","2","11","0","9","20","2","7",,"4400","5","2","1","213","188","213","22","22","22","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0","4","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","0","2",Sawang,Siau Timur Selatan,DCIM/titik-sekolah_20221027110758325.jpg,DCIM/titik-sekolah_20220907133229745.jpg,DCIM/titik-sekolah_20221027110641546.jpg,,./0.png
125.39864173159,2.70605812780559,"61",SD Gmist Elim Mala,"40104701","Sarina Mangangue, S.Pd",Kampung Mala,1954/01/01,"2","1","2","5","5","5","5",,"5","4","1","5","5","5","3","4","15","6","8","4","8",,"900","5","2","5","68","52","68","10","5","7","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","1",Mala,Siau Timur Selatan,DCIM/titik-sekolah_20221005123138267.jpg,DCIM/titik-sekolah_20221005123147064.jpg,DCIM/titik-sekolah_20221005123153880.jpg,"Ruang pimpinan gabung dengan ruang admin TU ruang perpus, kls 6 dan uks gabung, lapngan olahrga gabung deng lap upacara, ruang klas rusak sedang (plafon, dinding, papan tulis), ruang pimpinan plafon dan pintu rusak ringan, wc rusak berat ",./1.png
125.42005251,2.66064066,"62",SD GMIST Efrata Balirangen,"40104687","Anderes Udung, S.Pd",Lindingan 2 Kecamatan Siau Timur Selatan,2022/09/04,"3","1","5","5","4","5","5",,"5","3","5","5","5","5","2","4","0","6","6","1","5",,"900","1","2","1","52","35","52","6","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","1",Balirangen,Siau Timur Selatan,DCIM/titik-sekolah_20220912131908979.jpg,DCIM/titik-sekolah_20220912132008627.jpg,DCIM/titik-sekolah_20220912132208185.jpg,,./1.png
125.40642122,2.66613169,"63",SD GMIST Mutiara Kalihiang,"40104706","Norani Singale, S.Pd",Lindongan 2 ,1994/09/06,"4","1","5","5","5","5","5",,"5","2","5","5","5","5","2","5","1","7","7","6","0",,"450","5","2","1","32","22","32","3","3","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0","1",Kalihiang,Siau Timur Selatan,DCIM/titik-sekolah_20221027110538051.jpg,DCIM/titik-sekolah_20220912133049499.jpg,DCIM/titik-sekolah_20221027110551135.jpg,"Kondisi lingkungan sekolah yang sempit dengan keterbatasan lahan dan sangat kekurangan ruangan khususnya perpustakaan, belum ada pagar sekolah khusunya bagian belakang karena posisi sekolah yang ada di pinggir pantai dan dekat dengan rumah warga, sehingga akses masyarakat untuk beraktifitas sangat bebas di lingkungan sekolah",./1.png
125.38422655,2.70051771,"64",SD GMIST Pangirolong,"40104717","Sultje Derek, S. Pd",Lindongan II,2010/09/21,"4","1","5","5","3","5","5",,"5","1","5","5","5","1","2","5","0","6","6","2","7",,"450","5","3","1","52","40","52","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1",Pangirolong,Siau Timur Selatan,DCIM/titik-sekolah_20220912135110451.jpg,DCIM/titik-sekolah_20220912135901364.jpg,DCIM/titik-sekolah_20220912135946027.jpg,,./1.png
125.394059345126,2.69229294732213,"65",SD Gmist Sawang,"40104719","Ritna Lasaru, D.Pd",Kampung Binalu,1946/09/02,"2","4","4","5","4","4",,,"5","1","1","5","5","5","1","1","2","6","6","6","5",,"1300","5","3","5","12","12","103","12","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","4","0","1",Binalu,Siau Timur Selatan,DCIM/titik-sekolah_20221019122007542.jpg,DCIM/titik-sekolah_20221019122013286.jpg,DCIM/titik-sekolah_20221019122101116.jpg,,./1.png
125.39164124988,2.68071833532304,"66",SD Gmist Sawang Pondole,"40104633","Damaris Tamaka, S.Pd",Kampung Bandil,1976/09/15,"2","1","5","5","4","5","5",,"5","1","5","5","5","5","1","4","6","6","10","7","7",,"1300","5","2","1","73","57","55","9","7","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","4","0","1",Bandil,Siau Timur Selatan,DCIM/titik-sekolah_20221019161058750.jpg,DCIM/titik-sekolah_20221019161106088.jpg,DCIM/titik-sekolah_20221019161115954.jpg,"Ruang guru, ruang pimpinan, ruang admin TU digabung, ruang perpustakaan dan UKS digabung, wc hanya  1 yang digunakan, kegiatan olahraga dilaksanakan di pelabuhan",./1.png
125.39900793694,2.67373788636178,"67",SD Gmist Pniel Biau,"40104718","Ecklat Frietje Mangantara, S.Pd",Lindongan 1 Kampung Biau,1957/09/10,"2","1","1","5","1","5","5",,"5","4","5","5","5","5","4","1","1","6","4","4","1",,"900","1","2","5","89","56","88","12","7","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","4","0","1",Biau,Siau Timur Selatan,DCIM/titik-sekolah_20221017135542790.jpg,DCIM/titik-sekolah_20221017135553880.jpg,DCIM/titik-sekolah_20221017135558612.jpg,"Ruang guru dipakai sementara menjadi ruang belajar, perpustakaan dijadikan ruang guru dan admin TU, 2 ruang kelas rusak berat, kamar mandi rusak berat tetapi masih digunakan, lapangan olahraga dan lapangan upacara didepan rumah warga,  bangunan sekolah sejak didirikan tahun 1957 tidak pernah direhab karna itu sebagian besar bangunan sudah lapuk ",./1.png
125.362245,2.119785,"68",SMPN 1 Biaro,"40104752","Endang O.G Mulalinda, S.Pd",Lamanggo,1985/11/22,"2","1","2","2","3","2","2",,"5","2","3","1","5","1","2","5","1","4","50","0","2",,"1300","3","3","2","79","79","79","19","19","15","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","2",Lamanggo,Biaro,DCIM/titik-sekolah_20220908092720525.jpg,DCIM/titik-sekolah_20220908092011406.jpg,DCIM/titik-sekolah_20220908092034960.jpg,"Lab IPA kaca jendela pecah, dinding retak. Perpustakaan kusen jendela rusak, kaca pecah. Area olahraga dan lapangan upacara tergenang air. Dinding kelas retak dan atap bocor, jendela tidak ada kaca. Pintu WC rusak, atap bocor. Atap rumah dinas Kepala Sekolah bocor, rumah dinas guru kaca jendela pecah, lantai lubang",./0.png
